Rating Star,Title,Body,Star only,Body with star,Preprocessed_Body,Sentiment_Label,Sentiment_Score
5.0 out of 5 stars,Nice little Bluetooth box,"Bought for a Xmas present for the wife. She like to sew, and this helps her keep her hands free for phone calls and when listening to music, battery seems fine, though keeps it plugged in most of the time.",5 stars,"5 stars. Nice little Bluetooth box. Bought for a Xmas present for the wife. She like to sew, and this helps her keep her hands free for phone calls and when listening to music, battery seems fine, though keeps it plugged in most of the time.",5 stars nice little bluetooth box bought for a xmas present for the wife she like to sew and this helps her keep her hands free for phone calls and when listening to music battery seems fine though keeps it plugged in most of the time,4.0,0.8899869918823242
5.0 out of 5 stars,Easy to operate.,"The product was amazingly easy to set up and operate. I am a not so technically savvy senior, and I had no problems with this product. If I can do it, anyone can do it.
The sound is more than adequate. This was a great purchase for the price.",5 stars,"5 stars. Easy to operate.. The product was amazingly easy to set up and operate. I am a not so technically savvy senior, and I had no problems with this product. If I can do it, anyone can do it.
The sound is more than adequate. This was a great purchase for the price.",5 stars easy to operate .. the product was amazingly easy to set up and operate i am a not so technically savvy senior and i had no problems with this product if i can do it anyone can do it the sound is more than adequate this was a great purchase for the price,4.0,0.9736338257789612
5.0 out of 5 stars,Love my Jteman Cell phone holder,I simply love the Bluetooth powerful sound and the Bluetooth range,5 stars,5 stars. Love my Jteman Cell phone holder. I simply love the Bluetooth powerful sound and the Bluetooth range,5 stars love my jteman cell phone holder i simply love the bluetooth powerful sound and the bluetooth range,4.0,0.9859404563903809
5.0 out of 5 stars,Great buy on sale,"Solid, easy to use and just what I needed.",5 stars,"5 stars. Great buy on sale. Solid, easy to use and just what I needed.",5 stars great buy on sale solid easy to use and just what i needed,4.0,0.9915924072265625
5.0 out of 5 stars,This is a gift,"He loves listening to music on his phone, and can talk while he works!!!!",5 stars,"5 stars. This is a gift. He loves listening to music on his phone, and can talk while he works!!!!",5 stars this is a gift he loves listening to music on his phone and can talk while he works,4.0,0.9857821464538574
5.0 out of 5 stars,Good product,My wife liked this when working from home,5 stars,5 stars. Good product. My wife liked this when working from home,5 stars good product my wife liked this when working from home,4.0,0.9766570329666138
5.0 out of 5 stars,Gift for my wife,Works like a charm for zoom calls.,5 stars,5 stars. Gift for my wife. Works like a charm for zoom calls.,5 stars gift for my wife works like a charm for zoom calls,4.0,0.9847487807273865
5.0 out of 5 stars,Better than expected,"The audio output is clear you don't get any feedback or white noise, it works perfect for working in the garage and watching something or face timing a friend. It's not as bulky as I thought it would be, works great going to bed and watching TV while my spouse is sleeping because I can also plug in my headphones and use the stand.",5 stars,"5 stars. Better than expected. The audio output is clear you don't get any feedback or white noise, it works perfect for working in the garage and watching something or face timing a friend. It's not as bulky as I thought it would be, works great going to bed and watching TV while my spouse is sleeping because I can also plug in my headphones and use the stand.",5 stars better than expected the audio output is clear you do n't get any feedback or white noise it works perfect for working in the garage and watching something or face timing a friend it 's not as bulky as i thought it would be works great going to bed and watching tv while my spouse is sleeping because i can also plug in my headphones and use the stand,4.0,0.9498953819274902
5.0 out of 5 stars,sound,very good product,5 stars,5 stars. sound. very good product,5 stars sound very good product,4.0,0.9877170920372009
5.0 out of 5 stars,Sound couldBe improved,"Works great, love that it had a phone stand. Sound is OK. I use it for TiK Tok videos.",5 stars,"5 stars. Sound couldBe improved. Works great, love that it had a phone stand. Sound is OK. I use it for TiK Tok videos.",5 stars sound couldbe improved works great love that it had a phone stand sound is ok i use it for tik tok videos,4.0,0.890141487121582
